Timestamp,Latitud,Longitud,Altitud,SNR,RSSI,Tipo
"2025-07-11T10:56:54.946Z",42.61421,-5.56294,853,14,-27,interior
"2025-07-14T10:10:36.544Z",42.61317,-5.56135,841,-4.25,-111,interior
"2025-07-23T09:11:37.888Z",42.61491,-5.5639,838,-6.5,-109,interior
"2025-07-24T07:55:43.662Z",42.6149,-5.56397,849,1,-92,interior
"2025-07-25T10:54:31.383Z",42.6143,-5.56294,851,0,-105,interior
"2025-07-28T09:08:03.247Z",42.61485,-5.56342,851,6.5,-97,interior
"2025-07-28T10:42:53.656Z",42.61485,-5.56342,851,6.75,-99,interior
"2025-09-10T12:30:59.299Z",42.61489,-5.56415,870,4.75,-104,interior
"2025-09-10T12:35:46.72Z",42.61503,-5.56381,862,9.5,-55,interior
"2025-07-10T11:49:24.273Z",42.61535,-5.56355,870,10.8,-59,
"2025-07-10T11:55:25.913Z",42.61485,-5.56386,824,3.5,-104,
"2025-07-11T07:54:03.765Z",42.61485,-5.56386,824,5.5,-103,
"2025-07-11T07:54:58.452Z",42.61485,-5.56386,824,6,-97,
"2025-07-11T07:55:03.57Z",42.61485,-5.56386,824,10.2,-45,
"2025-07-11T07:57:38.559Z",42.61498,-5.56391,840,7,-93,
"2025-07-11T08:06:57.223Z",42.61502,-5.56395,866,14.5,-31,
"2025-07-11T08:08:07.964Z",42.61498,-5.56391,840,11.8,-46,
"2025-07-11T08:15:25.557Z",42.61499,-5.5641,882,10.25,-91,
"2025-07-11T08:16:35.677Z",42.61502,-5.56395,866,3.75,-101,
"2025-07-11T08:18:00.556Z",42.61502,-5.56395,866,14,-43,
"2025-07-11T08:20:07.014Z",42.61502,-5.56395,866,12.8,-39,
"2025-07-11T09:06:26.27Z",42.61489,-5.56327,851,5.5,-97,
"2025-07-11T09:14:11.539Z",42.6137,-5.56308,853,8,-85,
"2025-07-11T09:15:37.439Z",42.6128,-5.56326,854,9.25,-86,
"2025-07-11T09:16:51.912Z",42.61196,-5.56355,861,10.75,-86,
"2025-07-11T09:18:28.71Z",42.61122,-5.56482,854,2.5,-101,
"2025-07-11T09:19:38.885Z",42.61114,-5.56571,844,8.5,-85,
"2025-07-11T09:21:36.509Z",42.61123,-5.56746,859,4.75,-98,
"2025-07-11T09:23:40.193Z",42.61114,-5.56571,844,-3.25,-109,
"2025-07-11T09:24:34.548Z",42.61114,-5.56571,844,-0.75,-103,
"2025-07-11T09:42:27.351Z",42.61114,-5.56571,844,-5.5,-110,
"2025-07-11T10:00:55.906Z",42.61114,-5.56571,844,-3.75,-106,
"2025-07-11T10:08:42.599Z",42.61136,-5.56739,875,6.75,-93,
"2025-07-11T10:10:47.826Z",42.61127,-5.56577,854,10.25,-79,
"2025-07-11T10:12:18.116Z",42.61131,-5.56472,848,7.25,-86,
"2025-07-11T10:13:34.393Z",42.61188,-5.56368,868,10.5,-81,
"2025-07-11T10:15:29.739Z",42.61292,-5.5632,850,5.5,-98,
"2025-07-11T10:24:28.542Z",42.61386,-5.56305,850,4.25,-98,
"2025-07-11T10:26:51.33Z",42.61506,-5.56397,853,13,-22,
"2025-07-11T10:35:31.122Z",42.61421,-5.56294,853,6.5,-97,
"2025-07-11T10:45:20.34Z",42.61421,-5.56294,853,4.5,-101,
"2025-07-11T10:46:17.941Z",42.61421,-5.56294,853,7,-97,
"2025-07-11T10:47:24.149Z",42.61421,-5.56294,853,6.75,-91,
"2025-07-14T10:05:06.27Z",42.61415,-5.56272,845,7.75,-93,
"2025-07-14T10:06:56.812Z",42.61317,-5.56135,841,5.5,-101,
"2025-07-14T10:08:33.722Z",42.61216,-5.56163,839,-1,-104,
"2025-07-14T10:12:01.578Z",42.61264,-5.56199,895,1,-104,
"2025-07-14T10:16:38.957Z",42.61244,-5.56202,871,1,-105,
"2025-07-24T07:55:28.415Z",42.6149,-5.56397,849,7.75,-91,
"2025-07-24T07:58:47.63Z",42.6149,-5.56397,849,7.75,-98,
"2025-07-24T07:59:25.252Z",42.61496,-5.56301,845,8,-92,
"2025-07-24T08:00:44.187Z",42.61549,-5.56292,846,9.5,-83,
"2025-07-24T08:02:10.223Z",42.61611,-5.56284,848,1.5,-79,
